Solution of SHM
Step Size = .0050 Euler Method
Time	y	v	Δy	Δv
1.415000	-0.965381	-0.622069	0.013534	0.008919
1.420000	-0.968491	-0.602762	0.013627	0.008679
1.425000	-0.971505	-0.583392	0.013718	0.008436
1.430000	-0.974422	-0.563962	0.013808	0.008190
1.435000	-0.977242	-0.544473	0.013897	0.007941
1.440000	-0.979964	-0.524928	0.013985	0.007689
1.445000	-0.982589	-0.505329	0.014072	0.007435
1.450000	-0.985116	-0.485677	0.014157	0.007178
1.455000	-0.987544	-0.465975	0.014242	0.006919
1.460000	-0.989874	-0.446224	0.014325	0.006657
1.465000	-0.992105	-0.426427	0.014407	0.006392
1.470000	-0.994237	-0.406585	0.014488	0.006124
1.475000	-0.996270	-0.386700	0.014568	0.005855
1.480000	-0.998204	-0.366774	0.014646	0.005582
1.485000	-1.000037	-0.346810	0.014723	0.005307
1.490000	-1.001771	-0.326810	0.014799	0.005029
1.495000	-1.003405	-0.306774	0.014874	0.004749
1.500000	-1.004939	-0.286706	0.014947	0.004466
1.505000	-1.006373	-0.266607	0.015019	0.004181
1.510000	-1.007706	-0.246480	0.015089	0.003893
1.515000	-1.008938	-0.226326	0.015158	0.003603
1.520000	-1.010070	-0.206147	0.015226	0.003311
1.525000	-1.011101	-0.185946	0.015292	0.003016
1.530000	-1.012030	-0.165724	0.015357	0.002719
1.535000	-1.012859	-0.145483	0.015421	0.002420
1.540000	-1.013586	-0.125226	0.015483	0.002118
1.545000	-1.014212	-0.104954	0.015543	0.001814
1.550000	-1.014737	-0.084670	0.015602	0.001508
1.555000	-1.015160	-0.064375	0.015659	0.001200
1.560000	-1.015482	-0.044072	0.015715	0.000890
1.565000	-1.015703	-0.023762	0.015770	0.000577
1.570000	-1.015822	-0.003448	0.015823	0.000263
1.575000	-1.015839	0.016868	0.015874	-0.000054
1.580000	-1.015754	0.037185	0.015924	-0.000373
1.585000	-1.015568	0.057500	0.015972	-0.000693
1.590000	-1.015281	0.077812	0.016018	-0.001016
1.595000	-1.014892	0.098117	0.016063	-0.001341
1.600000	-1.014401	0.118415	0.016107	-0.001667
1.605000	-1.013809	0.138703	0.016148	-0.001995
1.610000	-1.013116	0.158979	0.016188	-0.002325
1.615000	-1.012321	0.179242	0.016226	-0.002657
1.620000	-1.011425	0.199488	0.016263	-0.002991
1.625000	-1.010427	0.219716	0.016297	-0.003326
1.630000	-1.009328	0.239925	0.016330	-0.003663
1.635000	-1.008129	0.260112	0.016362	-0.004002
1.640000	-1.006828	0.280274	0.016391	-0.004342
1.645000	-1.005427	0.300411	0.016419	-0.004684
1.650000	-1.003925	0.320519	0.016445	-0.005028
1.655000	-1.002322	0.340598	0.016469	-0.005373
1.660000	-1.000619	0.360644	0.016492	-0.005719
1.665000	-0.998816	0.380657	0.016512	-0.006067
1.670000	-0.996913	0.400633	0.016531	-0.006417
1.675000	-0.994909	0.420571	0.016548	-0.006767
1.680000	-0.992807	0.440469	0.016563	-0.007119
1.685000	-0.990604	0.460325	0.016576	-0.007473
1.690000	-0.988303	0.480137	0.016587	-0.007827
1.695000	-0.985902	0.499904	0.016597	-0.008183
1.700000	-0.983402	0.519622	0.016604	-0.008540
1.705000	-0.980804	0.539290	0.016610	-0.008898
1.710000	-0.978108	0.558906	0.016613	-0.009257
1.715000	-0.975313	0.578468	0.016615	-0.009617
1.720000	-0.972421	0.597974	0.016615	-0.009978
1.725000	-0.969431	0.617423	0.016613	-0.010340
1.730000	-0.966344	0.636811	0.016609	-0.010702
1.735000	-0.963160	0.656138	0.016603	-0.011066
1.740000	-0.959879	0.675401	0.016595	-0.011431
1.745000	-0.956502	0.694599	0.016585	-0.011796
1.750000	-0.953029	0.713729	0.016573	-0.012162
1.755000	-0.949461	0.732790	0.016559	-0.012529
1.760000	-0.945797	0.751779	0.016542	-0.012897
1.765000	-0.942038	0.770695	0.016524	-0.013265
1.770000	-0.938184	0.789535	0.016504	-0.013634
1.775000	-0.934237	0.808299	0.016482	-0.014003
1.780000	-0.930195	0.826984	0.016458	-0.014373
1.785000	-0.926060	0.845588	0.016432	-0.014743
1.790000	-0.921832	0.864109	0.016403	-0.015113
1.795000	-0.917512	0.882546	0.016373	-0.015484
1.800000	-0.913099	0.900896	0.016341	-0.015855
1.805000	-0.908594	0.919158	0.016306	-0.016226
1.810000	-0.903999	0.937330	0.016269	-0.016598
1.815000	-0.899312	0.955410	0.016231	-0.016970
1.820000	-0.894535	0.973396	0.016190	-0.017342
1.825000	-0.889668	0.991287	0.016147	-0.017714
1.830000	-0.884712	1.009080	0.016102	-0.018086
1.835000	-0.879666	1.026774	0.016055	-0.018457
1.840000	-0.874532	1.044368	0.016006	-0.018829
1.845000	-0.869310	1.061858	0.015954	-0.019201
1.850000	-0.864001	1.079244	0.015901	-0.019572
1.855000	-0.858605	1.096524	0.015845	-0.019944
1.860000	-0.853122	1.113696	0.015788	-0.020314
1.865000	-0.847554	1.130759	0.015728	-0.020685
1.870000	-0.841900	1.147710	0.015666	-0.021055
1.875000	-0.836161	1.164548	0.015602	-0.021425
1.880000	-0.830339	1.181271	0.015536	-0.021795
1.885000	-0.824432	1.197878	0.015468	-0.022164
1.890000	-0.818443	1.214367	0.015397	-0.022532
1.895000	-0.812371	1.230736	0.015325	-0.022900
1.900000	-0.806217	1.246983	0.015250	-0.023267
1.905000	-0.799983	1.263107	0.015173	-0.023634
1.910000	-0.793667	1.279107	0.015094	-0.023999
1.915000	-0.787272	1.294980	0.015013	-0.024364
1.920000	-0.780797	1.310726	0.014929	-0.024728
1.925000	-0.774243	1.326342	0.014844	-0.025092
1.930000	-0.767611	1.341826	0.014756	-0.025454
1.935000	-0.760902	1.357179	0.014666	-0.025815
1.940000	-0.754116	1.372397	0.014575	-0.026175
1.945000	-0.747254	1.387479	0.014481	-0.026534
